Order.jpg,Original name(label machine),Summary by 5 experts,,
000001.jpg,LY_295040.jpg,Lymphocyte,,Abbreviation
000002.jpg,MO_205457.jpg,Monocyte,,BNE: Band form neutrophil
000003.jpg,BNE_237043.jpg,BNE,,SNE: Segmented neutrophil
000004.jpg,LY_206335.jpg,Lymphocyte,,LQI: Low Quality Image An image that is considered unsuitable for training.
000005.jpg,SNE_221998.jpg,SNE,,"Such as blurred images, many cells, no cells in the center of the image, abnormal cell shape (half-cell breakage, dead cells)"
000006.jpg,SNE_280275.jpg,SNE,,
000007.jpg,SNE_206233.jpg,SNE,,
000008.jpg,LY_258689.jpg,Lymphocyte,,
000009.jpg,SNE_181767.jpg,SNE,,
000010.jpg,EO_208852.jpg,Eosinophil,,
000011.jpg,LY_209880.jpg,Lymphocyte,,
000012.jpg,MMY_199976.jpg,Promyelocyte,,
000013.jpg,LY_298261.jpg,Lymphocyte,,
000014.jpg,LY_223809.jpg,Lymphocyte,,
000015.jpg,LY_294691.jpg,Lymphocyte,,
000016.jpg,SNE_281186.jpg,BNE,,
000017.jpg,LY_182798.jpg,Lymphocyte,,
000018.jpg,BA_285172.jpg,Basophil,,
000019.jpg,MO_185778.jpg,Monocyte,,
000020.jpg,SNE_194150.jpg,SNE,,
000021.jpg,SNE_255857.jpg,SNE,,
000022.jpg,SNE_252136.jpg,SNE,,
000023.jpg,MO_227694.jpg,Monocyte,,
000024.jpg,SNE_289857.jpg,Metamyelocyte,,
000025.jpg,SNE_280268.jpg,SNE,,
000026.jpg,SNE_203653.jpg,SNE,,
000027.jpg,SNE_198612.jpg,Monocyte,,
000028.jpg,EO_239086.jpg,Eosinophil,,
000029.jpg,SNE_184412.jpg,SNE,,
000030.jpg,MO_235387.jpg,Monocyte,,
000031.jpg,SNE_243637.jpg,SNE,,
000032.jpg,SNE_284974.jpg,SNE,,
000033.jpg,BL_223635.jpg,Myeloblast,,
000034.jpg,SNE_206115.jpg,Metamyelocyte,,
000035.jpg,SNE_262489.jpg,SNE,,
000036.jpg,MMY_206291.jpg,BNE,,
000037.jpg,VLY_227711.jpg,Atypical Lymphocyte,,
000038.jpg,SNE_221862.jpg,SNE,,
000039.jpg,SNE_188967.jpg,SNE,,
000040.jpg,SNE_285421.jpg,SNE,,
000041.jpg,LY_254741.jpg,Lymphocyte,,
000042.jpg,LY_188997.jpg,Lymphocyte,,
000043.jpg,BNE_211141.jpg,BNE,,
000044.jpg,MO_239169.jpg,Monocyte,,
000045.jpg,SNE_176246.jpg,SNE,,
000046.jpg,SNE_282608.jpg,SNE,,
000047.jpg,LY_205459.jpg,Lymphocyte,,
000048.jpg,VLY_243024.jpg,Atypical Lymphocyte,,
000049.jpg,SNE_285419.jpg,SNE,,
000050.jpg,SNE_262573.jpg,BNE,,
000051.jpg,SNE_290680.jpg,SNE,,
000052.jpg,LY_294920.jpg,Lymphocyte,,
000053.jpg,SNE_252184.jpg,SNE,,
000054.jpg,SNE_290369.jpg,SNE,,
000055.jpg,BL_238578.jpg,Myeloblast,,
000056.jpg,SNE_284932.jpg,SNE,,
000057.jpg,BL_223661.jpg,Myeloblast,,
000058.jpg,LY_281203.jpg,Monocyte,,
000059.jpg,SNE_185806.jpg,SNE,,
000060.jpg,SNE_290422.jpg,SNE,,
000061.jpg,BA_250500.jpg,Eosinophil,,
000062.jpg,MO_186316.jpg,Monocyte,,
000063.jpg,SNE_252191.jpg,SNE,,
000064.jpg,BA_294926.jpg,Basophil,,
000065.jpg,BL_238692.jpg,Myeloblast,,
000066.jpg,SNE_173257.jpg,BNE,,
000067.jpg,SNE_206190.jpg,BNE,,
000068.jpg,EO_239112.jpg,Eosinophil,,
000069.jpg,LY_289233.jpg,Lymphocyte,,
000070.jpg,LY_238534.jpg,Lymphocyte,,
000071.jpg,SNE_203642.jpg,SNE,,
000072.jpg,SNE_239056.jpg,SNE,,
000073.jpg,SNE_210187.jpg,SNE,,
000074.jpg,SNE_188972.jpg,SNE,,
000075.jpg,LY_262553.jpg,Lymphocyte,,
000076.jpg,SNE_278748.jpg,SNE,,
000077.jpg,LY_269812.jpg,Lymphocyte,,
000078.jpg,SNE_295559.jpg,SNE,,
000079.jpg,LY_249009.jpg,Lymphocyte,,
000080.jpg,MO_226861.jpg,Monocyte,,
000081.jpg,SNE_200047.jpg,SNE,,
000082.jpg,MO_211681.jpg,Monocyte,,
000083.jpg,BA_210118.jpg,Basophil,,
000084.jpg,SNE_252166.jpg,SNE,,
000085.jpg,LY_248941.jpg,Lymphocyte,,
000086.jpg,SNE_223742.jpg,SNE,,
000087.jpg,LY_258691.jpg,Monocyte,,
000088.jpg,LY_236715.jpg,Lymphocyte,,
000089.jpg,EO_236154.jpg,Eosinophil,,
000090.jpg,LY_281599.jpg,Lymphocyte,,
000091.jpg,SNE_243064.jpg,SNE,,
000092.jpg,LY_248976.jpg,Lymphocyte,,
000093.jpg,SNE_238813.jpg,SNE,,
000094.jpg,SNE_219950.jpg,SNE,,
000095.jpg,SNE_221912.jpg,SNE,,
000096.jpg,SNE_253194.jpg,SNE,,
000097.jpg,SNE_294750.jpg,SNE,,
000098.jpg,SNE_235397.jpg,SNE,,
000099.jpg,SNE_259112.jpg,SNE,,
000100.jpg,BNE_206423.jpg,Metamyelocyte,,
000101.jpg,LY_211730.jpg,Lymphocyte,,
000102.jpg,MMY_199985.jpg,Myelocyte,,
000103.jpg,SNE_281182.jpg,Metamyelocyte,,
000104.jpg,VLY_227785.jpg,Myeloblast,,
000105.jpg,LY_176810.jpg,Lymphocyte,,
000106.jpg,LY_195211.jpg,Lymphocyte,,
000107.jpg,SNE_290642.jpg,SNE,,
000108.jpg,SNE_205702.jpg,SNE,,
000109.jpg,SNE_286020.jpg,SNE,,
000110.jpg,SNE_194212.jpg,SNE,,
000111.jpg,EO_208998.jpg,Eosinophil,,
000112.jpg,LY_289813.jpg,Lymphocyte,,
000113.jpg,MO_290568.jpg,Monocyte,,
000114.jpg,SNE_295145.jpg,SNE,,
000115.jpg,LY_284859.jpg,Lymphocyte,,
000116.jpg,SNE_199992.jpg,SNE,,
000117.jpg,SNE_199834.jpg,BNE,,
000118.jpg,SNE_235440.jpg,SNE,,
000119.jpg,SNE_238234.jpg,SNE,,
000120.jpg,SNE_283270.jpg,SNE,,
000121.jpg,SNE_252144.jpg,SNE,,
000122.jpg,LY_221976.jpg,Lymphocyte,,
